feature,importance
azimuth,3.372362984671797
gap_prev_sec_airport,2.8768183179899474
centroid_dist_5min,2.663870209878654
dist,2.3852784450961977
doy_cos,2.334796067363576
amp_trend_in_alert,2.1424622495495855
min_dist_10min,2.0448249895979864
doy_sin,2.0345324066402495
log1p_gap_prev_sec_airport,1.8881208877511362
centroid_dist_10min,1.7641832860791278
trend_amp_5_minus_30,1.7486179254613463
mean_abs_amp_5min,1.7212457890852197
gap_vs_median_in_alert,1.7022496490952852
trend_mean_dist_5min_minus_30min,1.7017273053145032
log1p_cnt_lt20_10min,1.6723512082007304
mean_dist_10min,1.584588045905188
share_cg_30min,1.563629764132186
hour_cos,1.5561269061282925
ratio_cg_5_over_30,1.4686344596872107
min_dist_5min,1.4491846908964785
ratio_lt20_5_over_30,1.434773612894885
log1p_gap_prev_sec_alert,1.4144175169097208
log1p_elapsed_since_alert_start_sec,1.4057115964356883
min_dist_last3_alert,1.4001743165103755
mean_abs_amp_10min,1.3947254723685807
dist_trend_in_alert,1.3859589187861883
ratio_all_5_over_30,1.3668377686313398
min_dist_30min,1.3278481030237288
ratio_all_10_over_30,1.315621644270194
airport,1.2956323061263046
retreat_score,1.234417835335415
ratio_cg_10_over_30,1.233401781930163
centroid_dist_30min,1.2285236324223097
trend_min_dist_5min_minus_30min,1.219828757032491
mean_abs_amp_30min,1.210150422452926
gap_prev_sec_alert,1.1914731794634652
gap_vs_max_in_alert,1.1761041737238291
log1p_cnt_lt20_5min,1.163570467142995
ratio_lt20_10_over_30,1.1549970446912334
share_lt20_30min,1.1299827833887073
cnt_lt20_5min,1.1176344390795094
elapsed_since_alert_start_sec,1.116178248149752
share_cg_10min,1.1143586604028306
gap_since_last_cg_lt10_sec,1.109730308340806
share_lt20_10min,1.101567859418954
log1p_cnt_cg_10min,1.084724671368739
hour_sin,1.0758986348176227
mean_dist_5min,1.0477791434975838
cnt_cg_10min,1.040040006552955
rank_in_alert,1.0371530657995165
mean_dist_30min,1.0346021863716377
silence_score_2,1.0178456172305093
log1p_gap_since_last_cg_lt10_sec,0.9725450654670544
elapsed_per_rank,0.9621171616811652
share_cg_5min,0.9573461566620973
log1p_rank_in_alert,0.9274711037510308
log1p_cnt_cg_30min,0.8877782312194028
log1p_cnt_cg_5min,0.8784341007082275
cnt_20_30_10min,0.8602596503852936
ratio_far_vs_close_10min,0.8414699969046041
share_lt20_5min,0.835141178108724
log1p_median_gap_in_alert,0.8137353321944507
cnt_all_5min,0.7754872202762777
cnt_lt20_30min,0.7744294536042514
cnt_cg_30min,0.7612122653196727
cnt_lt20_10min,0.7395960108717545
median_gap_in_alert,0.7269353362057022
log1p_max_gap_in_alert,0.701936385348012
log1p_cnt_all_5min,0.6969048315799716
cnt_cg_5min,0.682149891687647
ratio_far_vs_close_30min,0.6752524150308687
log1p_cnt_all_30min,0.6341518490194479
cnt_all_30min,0.6270801190307442
cnt_all_10min,0.624132852539483
ratio_far_vs_close_5min,0.6063539803473277
max_gap_in_alert,0.5860713860643997
log1p_cnt_all_10min,0.5808633728711006
log1p_cnt_lt20_30min,0.5281508455283022
log1p_elapsed_per_rank,0.5225534331833892
cnt_20_30_30min,0.5060556593967174
season,0.4612134165989368
cnt_20_30_5min,0.2623800109678458
cg_in_last5_alert,0.16409434928239547
cg_in_last3_alert,0.14132964023181174
gap_ratio_cg_lt20_vs_alert,0.021828681265343746
prev_is_cg_in_alert,0.006268853570826202
gap_since_last_cg_lt20_sec,0.0
gap_since_last_lt20_sec,0.0
log1p_gap_since_last_lt20_sec,0.0
gap_ratio_cg_lt20_vs_airport,0.0
silence_score_1,0.0
log1p_gap_since_last_cg_lt20_sec,0.0
