feature,importance
log1p_cnt_cg_5min,2.456359698330746
maxis,2.1300157776026056
cnt_cg_5min,1.996893065772005
x_rel,1.9689228293765086
log1p_gap_prev_sec_airport,1.8718799344701875
dist,1.8678882500894884
log1p_gap_prev_sec_alert,1.8351938326642665
gap_prev_sec_airport,1.721396512767241
min_dist_5min,1.6004555761213937
azimuth,1.5305780751203182
log1p_cnt_lt20_5min,1.4903949253243205
close_activity_score_10min,1.399874989003464
log1p_close_activity_score_5min,1.3222559228366961
trend_dist_10min_minus_30min,1.18845122599107
cnt_lt20_5min,1.1864462631085382
close_activity_score_5min,1.150558432811801
cnt_lt20_10min,1.1051448573992548
ratio_lt20_10min_over_30min,1.0411098592395833
amplitude,1.0374744047207596
y_rel,1.0266787558062367
cnt_cg_10min,1.0237495351339714
doy_cos,1.016468251442299
gap_prev_sec_alert,1.0074033711581099
trend_min_dist_5min_minus_30min,0.9831558660063033
min_dist_20min,0.9819187979201833
trend_dist_5min_minus_20min,0.9790131516793368
mean_dist_5min,0.9402237414153366
share_cg_30min,0.9345790264360252
log1p_close_activity_score_10min,0.927705172077716
share_cg_20min,0.8980096025282869
share_cg_10min,0.8920907132059487
airport,0.8842731419326108
diff_mean_dist_10min_minus_30min,0.870999473837423
trend_dist_5min_minus_30min,0.864337902798717
log1p_cnt_lt20_10min,0.8319663833074991
mean_abs_amp_20min,0.7786776571447376
log1p_cnt_cg_10min,0.7783940218368716
log1p_cnt_cg_20min,0.7777406305639137
hour_sin,0.7751676714316622
max_dist_5min,0.7700524609918797
log1p_elapsed_per_rank,0.7633910813769367
hour,0.7533902530585581
lt20_density_per_min_5min,0.7524765836023611
trend_all_10min_minus_30min,0.744802270295398
max_abs_amp_20min,0.7435577160149519
season,0.7133984653090198
diff_mean_dist_5min_minus_30min,0.7131518941495676
norm_trend_lt20_10min_over_30min,0.6958178853604167
mean_maxis_5min,0.6943925600439357
max_abs_amp_10min,0.6540959723416269
max_dist_20min,0.6524663078511181
doy_sin,0.6467106752802195
share_lt20_5min,0.6328209063845115
ratio_lt20_5min_over_20min,0.6272772664533709
min_dist_30min,0.6165150266403047
ratio_all_10min_over_30min,0.6128322068049936
max_abs_amp_30min,0.6074995189136999
cnt_cg_30min,0.6027416246651505
ratio_far_vs_close_5min,0.6014752081878135
mean_maxis_30min,0.6011120367945538
mean_maxis_10min,0.5993261352873807
norm_trend_all_5min_over_20min,0.5982222622533679
trend_min_dist_10min_minus_30min,0.5922179207554708
cnt_20_30_30min,0.5862111825330224
ratio_20_30_10min_over_30min,0.5827649172880769
