iter	Passed	Remaining
408	5601	35487
409	5615	35473
410	5628	35456
411	5642	35445
412	5656	35432
413	5669	35412
414	5682	35394
415	5695	35376
416	5709	35366
417	5723	35354
418	5736	35336
419	5748	35314
420	5762	35297
421	5775	35281
422	5787	35260
423	5800	35241
424	5813	35225
425	5827	35211
426	5841	35199
427	5855	35186
428	5868	35172
429	5882	35157
430	5896	35145
431	5909	35130
432	5923	35119
433	5936	35099
434	5950	35087
435	5963	35070
436	5976	35051
437	5989	35034
438	6003	35021
439	6017	35012
440	6031	35000
441	6045	34988
442	6059	34977
443	6072	34959
444	6086	34943
445	6098	34924
446	6111	34906
447	6124	34887
448	6138	34877
449	6151	34859
450	6164	34839
451	6177	34822
452	6189	34801
453	6202	34784
454	6215	34768
455	6230	34758
456	6244	34747
457	6258	34735
458	6271	34718
459	6284	34703
460	6297	34684
461	6311	34673
462	6325	34660
463	6339	34646
464	6352	34628
465	6365	34614
466	6377	34593
467	6390	34575
468	6403	34559
469	6417	34542
470	6430	34529
471	6444	34513
472	6457	34499
473	6472	34490
474	6485	34473
475	6499	34464
476	6513	34449
477	6526	34435
478	6538	34411
479	6551	34394
480	6565	34384
481	6578	34368
482	6592	34355
483	6609	34360
484	6623	34344
485	6636	34328
486	6649	34311
487	6662	34294
488	6676	34281
489	6690	34270
490	6703	34254
491	6716	34238
492	6729	34221
493	6742	34205
494	6756	34192
495	6770	34178
496	6783	34161
497	6795	34140
498	6810	34133
499	6823	34115
500	6837	34103
501	6851	34094
502	6866	34086
503	6880	34074
504	6893	34060
505	6907	34045
506	6921	34034
507	6934	34017
508	6949	34008
509	6962	33994
510	6976	33983
511	6990	33968
512	7004	33958
513	7018	33944
514	7032	33934
515	7046	33922
516	7060	33911
517	7073	33895
518	7086	33876
519	7100	33864
520	7114	33852
521	7127	33837
522	7139	33814
523	7153	33803
524	7167	33791
525	7181	33775
526	7194	33758
527	7208	33747
528	7221	33731
529	7235	33719
530	7248	33702
531	7261	33688
532	7275	33672
533	7288	33656
534	7302	33647
535	7317	33638
536	7330	33622
537	7344	33609
538	7358	33597
539	7372	33585
540	7385	33569
541	7400	33563
542	7413	33546
543	7427	33532
544	7441	33521
545	7454	33503
546	7467	33489
547	7482	33480
548	7497	33472
549	7510	33454
550	7524	33443
551	7537	33426
552	7550	33411
553	7564	33397
554	7577	33382
555	7590	33363
556	7602	33346
557	7619	33346
558	7635	33342
559	7649	33328
560	7662	33313
561	7676	33303
562	7690	33291
563	7705	33282
564	7719	33268
565	7732	33254
566	7746	33240
567	7760	33226
568	7774	33215
569	7786	33195
570	7800	33181
571	7815	33173
572	7828	33156
573	7841	33142
574	7855	33127
575	7868	33115
576	7881	33095
577	7893	33076
578	7908	33066
579	7922	33054
580	7935	33039
581	7949	33025
582	7961	33008
583	7975	32995
584	7989	32983
585	8002	32966
586	8016	32952
587	8029	32936
588	8042	32920
589	8054	32902
590	8067	32885
591	8081	32872
592	8096	32864
593	8109	32848
594	8122	32831
595	8138	32828
596	8154	32820
597	8168	32808
598	8183	32804
599	8198	32793
600	8212	32779
601	8228	32776
602	8241	32760
603	8252	32736
604	8266	32724
605	8279	32706
606	8292	32692
607	8306	32678
608	8320	32666
609	8333	32652
610	8347	32638
611	8359	32619
612	8373	32607
613	8390	32604
614	8404	32591
615	8417	32576
616	8431	32565
617	8445	32551
618	8459	32538
619	8472	32523
620	8486	32509
621	8500	32497
622	8512	32479
623	8525	32464
624	8538	32447
625	8551	32430
626	8565	32418
627	8578	32400
628	8591	32386
629	8605	32374
630	8619	32359
631	8633	32347
632	8647	32334
633	8663	32331
634	8679	32327
635	8694	32317
636	8708	32305
637	8722	32293
638	8738	32286
639	8753	32278
640	8768	32270
641	8781	32254
642	8796	32243
643	8809	32229
644	8823	32215
645	8837	32203
646	8851	32189
647	8865	32176
648	8878	32162
649	8891	32147
650	8905	32132
651	8919	32120
652	8933	32107
653	8947	32095
654	8961	32082
655	8975	32069
656	8988	32056
657	9004	32050
658	9022	32051
659	9036	32038
660	9049	32022
661	9063	32008
662	9078	31999
663	9093	31991
664	9106	31975
665	9119	31958
666	9133	31948
667	9147	31932
668	9159	31915
669	9174	31906
670	9190	31897
671	9203	31882
672	9216	31867
673	9230	31855
674	9244	31841
675	9258	31831
676	9273	31821
677	9287	31808
678	9301	31794
679	9314	31779
680	9326	31760
681	9341	31750
682	9354	31732
683	9367	31716
684	9380	31703
685	9394	31689
686	9408	31677
687	9423	31666
688	9435	31648
689	9448	31631
690	9461	31615
691	9475	31602
692	9488	31587
693	9502	31575
694	9517	31566
695	9531	31552
696	9546	31542
697	9560	31529
698	9573	31514
699	9587	31500
700	9600	31486
701	9613	31469
702	9627	31455
703	9640	31440
704	9653	31423
705	9666	31410
706	9681	31398
707	9694	31383
708	9707	31366
709	9720	31353
710	9733	31336
711	9747	31322
712	9760	31307
713	9774	31295
714	9787	31279
715	9802	31267
716	9815	31253
717	9828	31239
718	9841	31222
719	9853	31203
720	9867	31189
721	9881	31176
722	9894	31162
723	9908	31147
724	9921	31132
725	9933	31115
726	9947	31101
727	9961	31089
728	9974	31074
729	9987	31058
730	10001	31045
731	10014	31029
732	10026	31010
733	10039	30993
734	10051	30973
735	10064	30959
736	10077	30944
737	10090	30929
738	10104	30915
739	10117	30898
740	10131	30886
741	10145	30873
742	10160	30862
743	10173	30849
744	10186	30833
745	10202	30826
746	10216	30814
747	10231	30804
748	10245	30791
749	10258	30776
750	10272	30762
751	10286	30749
752	10301	30741
753	10313	30721
754	10326	30706
755	10340	30691
756	10352	30674
757	10365	30657
758	10379	30645
759	10392	30630
760	10406	30616
761	10420	30604
762	10434	30591
763	10447	30577
764	10461	30563
765	10473	30546
766	10487	30531
767	10500	30517
768	10514	30502
769	10528	30492
770	10541	30475
771	10555	30463
772	10567	30444
773	10582	30433
774	10594	30416
775	10608	30403
776	10622	30389
777	10635	30374
778	10648	30360
779	10662	30347
780	10676	30333
781	10690	30322
782	10705	30310
783	10718	30294
784	10731	30279
785	10743	30262
786	10754	30242
787	10767	30225
788	10781	30212
789	10794	30196
790	10807	30182
791	10820	30166
792	10833	30151
793	10846	30135
794	10860	30122
795	10873	30107
796	10887	30093
797	10898	30074
798	10912	30060
799	10925	30043
800	10939	30031
801	10952	30017
802	10964	29998
803	10977	29984
804	10991	29970
805	11005	29957
806	11018	29941
807	11032	29929
808	11044	29912
809	11059	29901
810	11072	29887
811	11087	29875
812	11100	29861
813	11113	29846
814	11126	29831
815	11140	29818
816	11153	29802
817	11168	29792
818	11181	29776
819	11194	29760
820	11207	29746
821	11220	29731
822	11234	29717
823	11248	29704
824	11262	29692
825	11276	29678
826	11289	29665
827	11304	29652
828	11317	29637
829	11330	29621
830	11342	29604
831	11353	29585
832	11366	29569
833	11380	29556
834	11393	29542
835	11407	29527
836	11420	29513
837	11433	29497
838	11446	29483
839	11459	29468
840	11473	29453
841	11485	29437
842	11498	29420
843	11511	29406
844	11524	29391
845	11536	29374
846	11550	29361
847	11564	29348
848	11578	29334
849	11592	29321
850	11605	29308
851	11618	29292
852	11632	29279
853	11645	29262
854	11660	29253
855	11672	29236
856	11685	29220
857	11699	29207
858	11712	29193
859	11724	29176
860	11738	29162
861	11751	29147
862	11764	29131
863	11776	29115
864	11789	29100
865	11803	29085
866	11818	29076
867	11832	29063
868	11846	29049
869	11859	29034
870	11872	29020
871	11886	29006
872	11899	28993
873	11912	28977
874	11925	28962
875	11939	28949
876	11952	28935
877	11967	28923
878	11979	28907
879	11992	28891
880	12005	28876
881	12019	28863
882	12032	28847
883	12044	28831
884	12059	28818
885	12070	28800
886	12083	28785
887	12097	28771
888	12110	28757
889	12124	28744
890	12138	28731
891	12152	28719
892	12166	28706
893	12179	28690
894	12192	28676
895	12207	28666
896	12222	28654
897	12235	28640
898	12249	28626
899	12261	28610
900	12275	28596
901	12287	28580
902	12302	28569
903	12315	28554
904	12329	28542
905	12343	28528
906	12356	28514
907	12369	28499
908	12382	28483
909	12395	28469
910	12407	28452
911	12420	28437
912	12433	28421
913	12446	28406
914	12459	28390
915	12473	28377
916	12486	28363
917	12498	28347
918	12512	28333
919	12526	28320
920	12539	28306
921	12554	28294
922	12567	28279
923	12580	28264
924	12592	28248
925	12605	28234
926	12620	28221
927	12633	28207
928	12646	28193
929	12660	28179
930	12674	28167
931	12688	28154
932	12702	28141
933	12716	28127
934	12728	28111
935	12741	28097
936	12755	28083
937	12769	28071
938	12783	28059
939	12797	28046
940	12810	28031
941	12827	28023
942	12840	28009
943	12853	27994
944	12868	27983
945	12889	27986
946	12905	27977
947	12919	27965
948	12933	27951
949	12946	27936
950	12959	27922
951	12973	27909
952	12988	27898
953	13002	27885
954	13016	27872
955	13030	27859
956	13042	27844
957	13056	27829
958	13068	27813
959	13081	27798
960	13095	27786
961	13108	27769
962	13122	27756
963	13136	27744
964	13150	27731
965	13164	27718
966	13176	27700
967	13189	27686
968	13203	27673
969	13216	27658
970	13229	27645
971	13243	27631
972	13257	27619
973	13271	27605
974	13285	27592
975	13299	27579
976	13311	27562
977	13324	27547
978	13338	27535
979	13353	27524
980	13367	27511
981	13381	27498
982	13394	27484
983	13408	27470
984	13422	27458
985	13437	27446
986	13449	27429
987	13462	27416
988	13474	27399
989	13487	27383
990	13500	27369
991	13514	27356
992	13527	27341
993	13541	27328
994	13554	27312
995	13566	27297
996	13580	27283
997	13594	27270
998	13607	27256
999	13620	27241
1000	13634	27228
1001	13650	27219
1002	13664	27206
1003	13678	27193
1004	13692	27179
1005	13705	27164
1006	13718	27151
1007	13732	27138
1008	13744	27122
1009	13758	27108
1010	13771	27092
1011	13784	27078
1012	13797	27063
1013	13810	27048
1014	13823	27034
1015	13836	27019
1016	13850	27006
1017	13863	26991
1018	13876	26975
1019	13889	26962
1020	13902	26948
1021	13916	26933
1022	13930	26921
1023	13943	26907
1024	13958	26894
1025	13972	26882
1026	13988	26874
1027	14001	26859
1028	14016	26847
1029	14029	26833
1030	14043	26821
1031	14056	26805
1032	14070	26792
1033	14083	26777
1034	14096	26762
1035	14109	26748
1036	14124	26736
1037	14137	26723
1038	14150	26707
1039	14163	26693
1040	14177	26679
1041	14191	26667
1042	14205	26654
1043	14218	26640
1044	14232	26625
1045	14246	26613
1046	14260	26599
1047	14274	26586
1048	14289	26576
1049	14302	26562
1050	14316	26548
1051	14330	26535
1052	14347	26528
1053	14360	26514
1054	14376	26503
1055	14388	26488
1056	14402	26474
1057	14416	26461
1058	14430	26449
1059	14444	26435
1060	14456	26420
1061	14471	26409
1062	14484	26394
1063	14498	26380
1064	14510	26363
1065	14523	26349
1066	14537	26336
1067	14549	26320
1068	14563	26307
1069	14575	26290
1070	14588	26275
1071	14601	26260
1072	14614	26246
1073	14629	26234
1074	14642	26219
1075	14655	26205
1076	14668	26191
1077	14683	26179
1078	14697	26166
1079	14711	26153
1080	14724	26139
1081	14737	26124
1082	14750	26110
1083	14764	26096
1084	14777	26082
1085	14790	26067
1086	14804	26053
1087	14817	26038
1088	14830	26025
1089	14844	26011
1090	14856	25995
1091	14870	25981
1092	14882	25966
1093	14895	25951
1094	14908	25937
1095	14923	25924
1096	14935	25908
1097	14950	25897
1098	14964	25884
1099	14977	25870
1100	14991	25858
1101	15004	25843
1102	15017	25827
1103	15030	25812
1104	15045	25801
1105	15057	25786
1106	15072	25773
1107	15086	25761
1108	15099	25746
1109	15113	25733
1110	15126	25718
1111	15140	25705
1112	15155	25694
1113	15169	25681
1114	15181	25665
1115	15195	25652
1116	15208	25637
1117	15221	25622
1118	15235	25610
1119	15247	25594
1120	15261	25580
1121	15275	25567
1122	15289	25555
1123	15303	25541
1124	15315	25526
1125	15329	25512
1126	15342	25498
1127	15354	25482
1128	15369	25470
1129	15384	25458
1130	15397	25444
1131	15411	25432
1132	15424	25417
1133	15437	25402
1134	15451	25388
1135	15464	25375
1136	15477	25360
1137	15491	25346
1138	15504	25332
1139	15517	25318
1140	15531	25305
1141	15542	25287
1142	15556	25273
1143	15569	25258
1144	15581	25242
1145	15594	25228
1146	15606	25213
1147	15619	25198
1148	15633	25184
1149	15646	25171
1150	15659	25156
1151	15673	25143
1152	15688	25130
1153	15701	25117
1154	15716	25104
1155	15730	25092
1156	15743	25078
1157	15757	25065
1158	15769	25048
1159	15783	25035
1160	15795	25019
1161	15808	25005
1162	15822	24991
1163	15835	24977
1164	15849	24964
1165	15862	24950
1166	15875	24936
1167	15888	24921
1168	15901	24906
1169	15913	24890
1170	15926	24876
1171	15940	24862
1172	15953	24849
1173	15967	24835
1174	15981	24822
1175	15993	24806
1176	16006	24791
1177	16019	24777
1178	16035	24767
1179	16048	24753
1180	16062	24739
1181	16075	24725
1182	16089	24712
1183	16102	24697
1184	16115	24683
1185	16129	24669
1186	16143	24656
1187	16156	24642
1188	16170	24630
1189	16185	24618
1190	16198	24604
1191	16212	24590
1192	16226	24578
1193	16241	24566
1194	16255	24552
1195	16268	24538
1196	16282	24525
1197	16295	24510
1198	16309	24497
1199	16322	24483
1200	16335	24469
1201	16349	24456
1202	16363	24443
1203	16376	24428
1204	16389	24414
1205	16402	24399
1206	16416	24386
1207	16429	24371
1208	16443	24359
1209	16455	24343
1210	16469	24330
1211	16482	24315
1212	16495	24301
1213	16508	24287
1214	16521	24272
1215	16534	24257
1216	16547	24243
1217	16561	24230
1218	16575	24217
1219	16589	24203
1220	16603	24190
1221	16615	24174
1222	16630	24163
1223	16644	24151
1224	16657	24136
1225	16671	24122
1226	16686	24112
1227	16700	24098
1228	16714	24085
1229	16726	24070
1230	16739	24054
1231	16752	24041
1232	16765	24026
1233	16778	24012
1234	16790	23996
1235	16803	23982
1236	16812	23961
1237	16826	23948
1238	16840	23934
1239	16852	23919
1240	16864	23903
1241	16877	23889
1242	16890	23875
1243	16904	23861
1244	16916	23845
1245	16929	23831
1246	16941	23815
1247	16956	23803
1248	16968	23788
1249	16982	23775
1250	16995	23761
1251	17009	23748
1252	17023	23734
1253	17037	23721
1254	17050	23707
1255	17062	23691
1256	17074	23676
1257	17088	23663
1258	17102	23650
1259	17116	23637
1260	17130	23623
1261	17143	23609
1262	17157	23596
1263	17170	23582
1264	17183	23568
1265	17195	23552
1266	17209	23538
1267	17222	23525
1268	17236	23511
1269	17250	23498
1270	17264	23485
1271	17278	23472
1272	17290	23457
1273	17303	23442
1274	17317	23428
1275	17330	23415
1276	17344	23401
1277	17358	23389
1278	17370	23372
1279	17383	23359
1280	17397	23346
1281	17410	23332
1282	17424	23318
1283	17438	23306
1284	17452	23292
1285	17466	23279
1286	17479	23265
1287	17494	23253
1288	17510	23242
1289	17523	23229
1290	17537	23215
1291	17549	23200
1292	17562	23185
1293	17574	23170
1294	17588	23156
1295	17601	23143
1296	17615	23130
1297	17629	23116
1298	17643	23103
1299	17656	23088
1300	17669	23075
1301	17680	23057
1302	17693	23043
1303	17706	23028
1304	17721	23017
1305	17734	23003
1306	17747	22989
1307	17760	22974
1308	17774	22961
1309	17788	22948
1310	17801	22934
1311	17814	22919
1312	17827	22905
1313	17839	22890
1314	17853	22876
1315	17867	22864
1316	17880	22850
1317	17893	22835
1318	17906	22820
1319	17920	22808
1320	17934	22794
1321	17947	22780
1322	17961	22768
