feature,importance
alert_progress_ratio,81.73471367727275
ratio_cg_5min_over_30min,2.267287729501937
log1p_ratio_all_5min_over_20min,1.832525585026885
log1p_close_activity_score_20min,1.7426472476826853
ratio_cg_10min_over_30min,1.4768499717594123
mean_maxis_20min,1.4540587308725061
centroid_dist_60min,1.2761476159623004
log1p_ratio_lt20_10min_over_30min,1.2513185018893196
share_20_30_20min,1.1542546073825177
ratio_far_vs_close_10min,0.9108789388443026
ratio_all_5min_over_30min,0.8733102410787832
ratio_all_10min_over_30min,0.8411032169933736
log1p_total_lightnings_in_alert,0.7415546737551336
log1p_far_activity_score_5min,0.6458795586256992
log1p_cnt_lt20_5min,0.6239166608584089
cnt_all_5min,0.5996274014952356
cnt_all_10min,0.5739256409987473
trend_lt10_10min_minus_30min,0.0
trend_cg_10min_minus_30min,0.0
trend_20_30_10min_minus_30min,0.0
trend_lt20_10min_minus_30min,0.0
norm_trend_all_10min_over_30min,0.0
trend_all_10min_minus_30min,0.0
trend_min_dist_5min_minus_30min,0.0
trend_mean_dist_5min_minus_30min,0.0
norm_trend_all_5min_over_30min,0.0
norm_trend_lt20_5min_over_30min,0.0
norm_trend_lt20_10min_over_30min,0.0
lon,0.0
trend_mean_dist_10min_minus_30min,0.0
trend_min_dist_10min_minus_30min,0.0
trend_20_30_5min_minus_30min,0.0
gap_ratio_lt20_vs_alert,0.0
gap_ratio_cg_lt20_vs_alert,0.0
gap_ratio_cg_lt20_vs_airport,0.0
elapsed_per_rank,0.0
close_activity_score_5min,0.0
far_activity_score_5min,0.0
close_activity_score_10min,0.0
far_activity_score_10min,0.0
close_activity_score_20min,0.0
far_activity_score_20min,0.0
lt20_density_per_min_5min,0.0
lt20_density_per_min_10min,0.0
trend_lt10_5min_minus_30min,0.0
norm_trend_lt20_5min_over_20min,0.0
trend_lt20_5min_minus_30min,0.0
trend_cg_5min_minus_30min,0.0
close_minus_far_5min,0.0
share_lt20_10min,0.0
share_20_30_10min,0.0
share_cg_10min,0.0
share_lt10_10min,0.0
close_minus_far_10min,0.0
share_lt20_20min,0.0
share_cg_20min,0.0
share_lt10_20min,0.0
ratio_far_vs_close_20min,0.0
close_minus_far_20min,0.0
share_lt20_30min,0.0
share_20_30_30min,0.0
share_cg_30min,0.0
share_lt10_30min,0.0
ratio_far_vs_close_30min,0.0
close_minus_far_30min,0.0
trend_all_5min_minus_20min,0.0
trend_cg_5min_minus_20min,0.0
trend_lt20_5min_minus_20min,0.0
trend_20_30_5min_minus_20min,0.0
trend_lt10_5min_minus_20min,0.0
log1p_cnt_cg_5min,0.0
norm_trend_all_5min_over_20min,0.0
trend_mean_dist_5min_minus_20min,0.0
trend_min_dist_5min_minus_20min,0.0
trend_all_5min_minus_30min,0.0
log1p_cnt_all_5min,0.0
log1p_cnt_10_20_5min,0.0
log1p_cnt_ic_5min,0.0
log1p_ratio_20_30_5min_over_30min,0.0
log1p_gap_since_last_lt10_sec,0.0
log1p_rank_in_alert,0.0
log1p_elapsed_since_alert_start_sec,0.0
log1p_gap_prev_sec_alert,0.0
log1p_max_gap_in_alert,0.0
log1p_gap_vs_max_in_alert,0.0
log1p_ratio_all_5min_over_30min,0.0
log1p_ratio_all_10min_over_30min,0.0
log1p_ratio_cg_5min_over_20min,0.0
log1p_ratio_cg_5min_over_30min,0.0
log1p_ratio_cg_10min_over_30min,0.0
log1p_ratio_lt20_5min_over_20min,0.0
log1p_ratio_lt20_5min_over_30min,0.0
log1p_ratio_20_30_5min_over_20min,0.0
log1p_ratio_20_30_10min_over_30min,0.0
log1p_cnt_20_30_5min,0.0
log1p_ratio_lt10_5min_over_20min,0.0
log1p_ratio_lt10_5min_over_30min,0.0
log1p_ratio_lt10_10min_over_30min,0.0
log1p_ratio_far_vs_close_5min,0.0
log1p_ratio_far_vs_close_10min,0.0
log1p_ratio_far_vs_close_20min,0.0
log1p_ratio_far_vs_close_30min,0.0
log1p_gap_ratio_lt20_vs_alert,0.0
log1p_gap_ratio_cg_lt20_vs_alert,0.0
log1p_gap_ratio_cg_lt20_vs_airport,0.0
log1p_elapsed_per_rank,0.0
log1p_close_activity_score_5min,0.0
log1p_close_activity_score_10min,0.0
log1p_far_activity_score_10min,0.0
log1p_gap_since_last_cg_lt20_sec,0.0
log1p_gap_since_last_lt20_sec,0.0
log1p_gap_prev_sec_airport,0.0
log1p_cnt_10_20_60min,0.0
log1p_cnt_lt10_5min,0.0
share_lt10_5min,0.0
log1p_cnt_all_10min,0.0
log1p_cnt_cg_10min,0.0
log1p_cnt_ic_10min,0.0
log1p_cnt_lt20_10min,0.0
log1p_cnt_20_30_10min,0.0
log1p_cnt_lt10_10min,0.0
log1p_cnt_10_20_10min,0.0
log1p_cnt_all_20min,0.0
log1p_cnt_cg_20min,0.0
log1p_cnt_ic_20min,0.0
log1p_cnt_lt20_20min,0.0
log1p_cnt_20_30_20min,0.0
log1p_cnt_lt10_20min,0.0
log1p_cnt_10_20_20min,0.0
log1p_cnt_all_30min,0.0
log1p_cnt_cg_30min,0.0
log1p_cnt_ic_30min,0.0
log1p_cnt_lt20_30min,0.0
log1p_cnt_20_30_30min,0.0
log1p_cnt_lt10_30min,0.0
log1p_cnt_10_20_30min,0.0
log1p_cnt_all_60min,0.0
log1p_cnt_cg_60min,0.0
log1p_cnt_ic_60min,0.0
log1p_cnt_lt20_60min,0.0
log1p_cnt_20_30_60min,0.0
log1p_cnt_lt10_60min,0.0
ratio_far_vs_close_5min,0.0
diff_mean_dist_10min_minus_30min,0.0
share_cg_5min,0.0
mean_y_rel_10min,0.0
cnt_ic_10min,0.0
cnt_lt20_10min,0.0
cnt_20_30_10min,0.0
cnt_lt10_10min,0.0
cnt_10_20_10min,0.0
min_dist_10min,0.0
mean_dist_10min,0.0
max_dist_10min,0.0
std_dist_10min,0.0
mean_abs_amp_10min,0.0
max_abs_amp_10min,0.0
mean_maxis_10min,0.0
std_abs_amp_10min,0.0
mean_x_rel_10min,0.0
centroid_dist_10min,0.0
centroid_dist_5min,0.0
cnt_all_20min,0.0
cnt_cg_20min,0.0
cnt_ic_20min,0.0
cnt_lt20_20min,0.0
cnt_20_30_20min,0.0
cnt_lt10_20min,0.0
cnt_10_20_20min,0.0
min_dist_20min,0.0
mean_dist_20min,0.0
max_dist_20min,0.0
std_dist_20min,0.0
mean_abs_amp_20min,0.0
max_abs_amp_20min,0.0
std_abs_amp_20min,0.0
cnt_cg_10min,0.0
mean_y_rel_5min,0.0
share_20_30_5min,0.0
x_rel,0.0
amplitude,0.0
maxis,0.0
dist,0.0
azimuth,0.0
airport,0.0
month,0.0
hour,0.0
dayofyear,0.0
weekday,0.0
hour_sin,0.0
hour_cos,0.0
doy_sin,0.0
doy_cos,0.0
season,0.0
y_rel,0.0
mean_x_rel_5min,0.0
cnt_cg_5min,0.0
cnt_ic_5min,0.0
cnt_lt20_5min,0.0
cnt_20_30_5min,0.0
cnt_lt10_5min,0.0
cnt_10_20_5min,0.0
min_dist_5min,0.0
mean_dist_5min,0.0
max_dist_5min,0.0
std_dist_5min,0.0
mean_abs_amp_5min,0.0
max_abs_amp_5min,0.0
mean_maxis_5min,0.0
std_abs_amp_5min,0.0
mean_x_rel_20min,0.0
mean_y_rel_20min,0.0
centroid_dist_20min,0.0
ratio_lt20_5min_over_20min,0.0
mean_y_rel_60min,0.0
gap_prev_sec_airport,0.0
gap_since_last_lt20_sec,0.0
gap_since_last_cg_lt20_sec,0.0
gap_since_last_lt10_sec,0.0
rank_in_alert,0.0
elapsed_since_alert_start_sec,0.0
gap_prev_sec_alert,0.0
total_lightnings_in_alert,0.0
amp_trend_in_alert,0.0
max_gap_in_alert,0.0
gap_vs_max_in_alert,0.0
ratio_all_5min_over_20min,0.0
ratio_cg_5min_over_20min,0.0
ratio_lt20_5min_over_30min,0.0
cnt_all_30min,0.0
ratio_lt20_10min_over_30min,0.0
ratio_20_30_5min_over_20min,0.0
ratio_20_30_5min_over_30min,0.0
ratio_20_30_10min_over_30min,0.0
ratio_lt10_5min_over_20min,0.0
ratio_lt10_5min_over_30min,0.0
ratio_lt10_10min_over_30min,0.0
diff_mean_dist_5min_minus_20min,0.0
diff_mean_abs_amp_5min_minus_20min,0.0
diff_mean_dist_5min_minus_30min,0.0
diff_mean_abs_amp_5min_minus_30min,0.0
lat,0.0
diff_mean_abs_amp_10min_minus_30min,0.0
share_lt20_5min,0.0
mean_x_rel_60min,0.0
std_abs_amp_60min,0.0
mean_maxis_60min,0.0
max_abs_amp_60min,0.0
cnt_cg_30min,0.0
cnt_ic_30min,0.0
cnt_lt20_30min,0.0
cnt_20_30_30min,0.0
cnt_lt10_30min,0.0
cnt_10_20_30min,0.0
min_dist_30min,0.0
mean_dist_30min,0.0
max_dist_30min,0.0
std_dist_30min,0.0
mean_abs_amp_30min,0.0
max_abs_amp_30min,0.0
mean_maxis_30min,0.0
std_abs_amp_30min,0.0
mean_x_rel_30min,0.0
mean_y_rel_30min,0.0
centroid_dist_30min,0.0
cnt_all_60min,0.0
cnt_cg_60min,0.0
cnt_ic_60min,0.0
cnt_lt20_60min,0.0
cnt_20_30_60min,0.0
cnt_lt10_60min,0.0
cnt_10_20_60min,0.0
min_dist_60min,0.0
mean_dist_60min,0.0
max_dist_60min,0.0
std_dist_60min,0.0
mean_abs_amp_60min,0.0
log1p_far_activity_score_20min,0.0
